,conversation_id,Interviewer,total_duration(min),total_duration(min)_by_user,avg_response_length,avg_response_duration_by_user(sec),avg_response_duration_by_interviewer(sec),total_character,total_character_by_user,total_words,total_words_by_user,question_count
0,6,Human,30.18,18.13,112.27,72.52,42.54,4062,1684,713,319,15
1,7,Human,31.5,23.35,148.84,73.75,23.29,5215,2828,940,536,19
2,9,Human,23.05,14.77,70.84,46.63,23.66,3702,1346,668,258,19
3,13,Human,10.83,6.22,38.73,33.93,23.05,2035,426,348,81,11
4,19,AI,25.91,23.57,67.24,38.21,3.52,9358,2488,1616,478,37
5,21,Human,26.84,15.61,191.21,66.89,42.11,4763,2677,847,494,14
6,22,AI,6.86,6.61,81.33,66.09,2.13,3025,488,505,87,6
7,23,Human,28.46,20.04,111.62,75.17,29.69,3948,1786,730,361,16
8,25,AI,22.63,21.07,97.52,60.19,3.92,7534,2048,1246,365,21
9,27,AI,6.33,4.86,12.88,11.22,3.25,6057,335,1048,71,26
10,30,Human,23.27,18.09,91.38,67.84,18.28,3476,1462,630,283,16
11,31,Human,22.33,14.29,64.76,50.44,25.38,3517,1101,627,223,17
12,35,Human,25.94,18.13,290.78,120.87,46.83,4557,2617,837,505,9
13,36,AI,30.64,29.52,128.24,84.33,2.8,6564,2693,1127,488,21
14,37,Human,20.75,14.8,198.78,98.67,35.72,3591,1789,609,303,9
15,38,AI,26.99,26.01,192.0,74.33,2.44,7768,4032,1291,682,21
16,39,Human,28.27,21.12,218.42,105.59,33.03,4501,2621,820,507,12
17,40,Human,25.9,17.01,134.11,113.42,53.31,3071,1207,535,221,9
18,46,AI,49.56,47.23,116.7,64.41,2.97,10755,5135,1890,957,44
19,47,AI,45.92,43.75,134.93,59.66,2.76,11733,5937,2033,1069,44
20,48,AI,30.76,28.79,121.8,49.36,3.12,8725,4263,1542,793,35
21,49,Human,32.22,21.31,275.67,106.54,46.75,5445,3308,991,628,12
22,50,Human,30.81,16.54,126.69,76.33,57.09,3788,1647,694,318,13
23,51,AI,55.8,53.84,92.32,73.42,2.5,10320,4062,1773,741,44
24,53,AI,33.29,31.21,59.84,41.62,2.6,7513,2693,1321,506,45
25,54,AI,27.63,25.44,56.07,34.69,2.79,8082,2467,1416,460,44
26,55,Human,20.5,13.18,148.18,71.89,36.58,3460,1630,605,301,11
27,56,AI,31.23,30.09,153.9,85.97,2.85,7340,3232,1297,620,21
28,58,Human,28.79,13.72,123.13,54.89,56.52,4092,1847,734,352,15
29,59,Human,34.2,25.81,88.94,91.09,26.49,3734,1512,663,286,17
30,60,AI,27.39,25.61,52.86,34.93,2.27,8236,2326,1434,430,44
31,62,Human,32.08,18.18,113.29,45.45,33.35,5942,2719,1054,500,24
32,64,Human,40.09,22.63,223.29,79.88,58.2,6340,3796,1117,677,17
33,66,AI,40.85,38.79,100.2,56.77,2.81,10436,4108,1833,772,41
34,67,AI,33.26,31.33,120.91,42.72,2.46,10663,5320,1919,1020,44
35,68,AI,44.72,43.58,217.57,124.53,2.83,8140,4569,1412,827,21
36,71,Human,28.28,18.35,266.89,122.35,59.56,4325,2402,769,442,9
37,73,AI,18.68,17.68,176.19,50.5,2.51,7282,3700,1240,658,21
38,74,Human,25.8,14.28,84.29,50.4,38.39,4040,1433,719,269,17
39,75,AI,27.46,25.74,79.59,35.1,2.19,8997,3502,1601,688,44
40,78,AI,21.63,20.73,88.0,59.24,2.25,4588,1848,783,330,21
